Nom,Email,Téléphone,Destination,Date de départ,Nombre de passagers,Statut,Source Demande,Historique des interactions,Notes internes,Devis,Relances
Clara Bernard,vedrineorlanemouafo@gmail.com,+33698765432,Marseille,2026-06-15,12,Nouvelle,Site Web,"Bonjour, je m'appelle Clara Bernard. Mon email est vedrineorlanemouafo@gmail.com et mon téléphone est +33698765432. Je souhaite un transfert aller-retour vers Marseille le 15 juin 2026 pour 12 passagers. La distance estimée est de 120 km.",Catégorie : Transfert | Distance : 120 km | Type trajet : aller_retour | Intervention humaine : Non,,
Clara Bernard,vedrineorlanemouafo@gmail.com,+33698765432,Marseille,2026-06-15,12,Nouvelle,Site Web,"Bonjour, je m'appelle Clara Bernard. Mon email est vedrineorlanemouafo@gmail.com et mon téléphone est +33698765432. Je souhaite un transfert aller-retour vers Marseille le 15 juin 2026 pour 12 passagers. La distance estimée est de 120 km.",Catégorie : Transfert | Distance : 120 km | Type trajet : aller_retour | Intervention humaine : Non,,
Clara Bernard,vedrineorlanemouafo@gmail.com,+33698765432,Marseille,2026-06-15,12,Nouvelle,Site Web,"Bonjour, je m'appelle Clara Bernard. Mon email est vedrineorlanemouafo@gmail.com et mon téléphone est +33698765432. Je souhaite un transfert aller-retour vers Marseille le 15 juin 2026 pour 12 passagers. La distance estimée est de 120 km.",Catégorie : Transfert | Distance : 120 km | Type trajet : aller_retour | Intervention humaine : Non,,
Clara Bernard,vedrineorlanemouafo@gmail.com,+33698765432,Marseille,2026-06-15,12,Nouvelle,Site Web,"Bonjour, je m'appelle Clara Bernard. Mon email est vedrineorlanemouafo@gmail.com et mon téléphone est +33698765432. Je souhaite un transfert aller-retour vers Marseille le 15 juin 2026 pour 12 passagers. La distance estimée est de 120 km.",Catégorie : Transfert | Distance : 120 km | Type trajet : aller_retour | Intervention humaine : Non,,
Clara Bernard,vedrineorlanemouafo@gmail.com,+33698765432,Marseille,2026-06-15,12,Nouvelle,Site Web,"Bonjour, je m'appelle Clara Bernard. Mon email est vedrineorlanemouafo@gmail.com et mon téléphone est +33698765432. Je souhaite un transfert aller-retour vers Marseille le 15 juin 2026 pour 12 passagers. La distance estimée est de 120 km.",Catégorie : Transfert | Distance : 120 km | Type trajet : aller_retour | Intervention humaine : Non,,
Laure Dupont,vedrineorlanemouafo@gmail.com,+33698965432,Lille,2026-07-15,12,Nouvelle,Site Web,,Catégorie : Transfert | Distance : 200 km | Type trajet : aller_retour | Intervention humaine : Non,,
Laure Dupont,vedrineorlanemouafo@gmail.com,+33698965432,Lille,2026-07-15,12,Nouvelle,Site Web,,Catégorie : Transfert | Distance : 200 km | Type trajet : aller_retour | Intervention humaine : Non,,
Laurisse Manuel,vedrineorlanemouafo@gmail.com,+33698964432,Montpelier,2026-07-20,20,Nouvelle,Site Web,,Catégorie : Transfert | Distance : 200 km | Type trajet : aller_retour | Intervention humaine : Non,,
Clara Bernard,vedrineorlanemouafo@gmail.com,+33698765432,Paris,2026-07-10,4,Nouvelle,Site Web,,Catégorie : Transfert | Distance : 80 km | Type trajet : aller_simple | Intervention humaine : Non,,
Clara Bernard,vedrineorlanemouafo@gmail.com,+33698765432,Marseille,2026-06-15,12,Nouvelle,Site Web,Demande de transfert aller-retour vers Marseille,Catégorie : Transfert | Distance : 120 km | Type trajet : aller_retour | Intervention humaine : Non,,
abdel,lahlouaboud@gmail.com,074978083,Paris,2023-08-15,20,Nouvelle,Site Web,Demande de transport de Lyon à Paris pour 20 personnes.,Catégorie : Transfert | Distance : 150 km | Type trajet : aller_simple | Intervention humaine : Non,,
abdel,labdess73@gmail.com,(074) 978-0833,Marrakech,2023-07-20,20,Nouvelle,Site Web,Groupe de 20 personnes de Casablanca à Marrakech.,Catégorie : Transfert | Distance : 175 km | Type trajet : aller_retour | Intervention humaine : Non,,
Yassine Filali,yassine.thyfa.filali@gmail.com,01 25 86 98 78,marseille,2026-07-30,30,Nouvelle,Site Web,Demande de transport en car de Lyon vers Marseille,Catégorie : Transfert | Distance : 200 km | Type trajet : aller_retour | Intervention humaine : Non,,
